election_id,voter_id,age,sex
1,26398,30,F
1,26518,35,F
1,2076,34,F
1,54720,15,F
1,48558,42,F
1,65626,72,F
1,79866,32,F
1,76134,8,F
1,70786,6,M
1,25849,35,F
1,10845,33,M
1,86197,39,F
1,2506,34,M
1,78404,46,M
1,48220,23,F
1,12872,25,F
1,3166,39,M
1,72072,58,M
1,38568,19,M
1,40682,63,F
1,74156,35,F
1,55210,38,M
1,4421,44,F
1,4800,49,F
1,43749,40,M
1,47103,3,F
1,49145,39,M
1,49590,62,M
1,47804,41,M
1,40727,40,M
1,17857,61,F
1,79668,37,M
1,86616,62,M
1,51263,40,M
1,77701,52,F
1,79904,34,F
1,74431,47,F
1,46294,42,M
1,43376,21,F
1,54280,19,F
1,16980,38,M
1,50177,26,M
1,49605,28,M
1,72960,32,F
1,32614,31,F
1,83769,2,F
1,46980,53,F
1,71004,32,F
1,10731,24,F
1,38391,63,F
1,51855,40,M
1,41733,39,F
1,72383,34,F
1,20946,36,F
1,44412,39,F
1,78311,12,F
1,13748,57,M
1,36756,38,M
1,47161,24,M
1,83939,45,F
1,77695,36,F
1,59304,43,M
1,79576,36,M
1,9442,38,M
1,77600,38,F
1,84155,33,F
1,77623,50,F
1,46538,40,M
1,79230,19,M
1,74558,21,M
1,61227,40,F
1,12731,32,F
1,34231,63,F
1,76788,38,F
1,39232,38,M
1,53767,29,M
1,78098,64,F
1,82600,91,M
1,20216,49,M
1,8603,36,F
1,14739,48,M
1,77525,20,F
1,81584,50,M
1,47432,27,F
1,36764,5,F
1,2847,25,M
1,8134,60,F
1,10365,41,F
1,84126,49,M
1,34768,39,M
1,4509,30,M
1,71333,3,F
1,26688,50,M
1,40220,28,M
1,12676,19,F
1,59543,36,F
1,17511,30,F
1,47909,36,F
1,71949,43,F
1,39176,25,M
1,66363,41,F
1,78092,47,M
1,40205,41,F
1,72440,38,F
1,29277,2,M
1,26517,5,F
1,51367,65,F
1,29811,45,F
1,33919,39,F
1,81194,31,F
1,66391,30,F
1,44885,40,F
1,28835,35,F
1,48390,26,F
1,27885,39,M
1,41547,29,F
1,72241,50,F
1,72330,41,M
1,5255,30,M
1,26953,42,F
1,84451,67,M
1,1257,26,M
1,31608,37,M
1,11735,30,M
1,32255,29,M
1,69100,43,M
1,30429,30,M
1,54764,61,F
1,23689,39,M
1,44548,34,F
1,46093,41,F
1,50057,35,M
1,34840,37,M
1,50250,23,F
1,37676,35,M
1,85913,80,F
1,69149,4,F
1,11376,28,F
1,3703,85,F
1,48550,52,F
1,56794,25,M
1,61260,25,F
1,62773,43,M
1,19159,44,F
1,6500,34,F
1,46136,32,F
1,49780,38,F
1,65940,7,F
1,68674,39,F
1,73317,26,F
1,76479,37,F
1,21099,30,M
1,47272,36,F
1,73650,42,F
1,63603,14,F
1,66101,30,F
1,54264,33,M
1,35430,45,M
1,67609,61,F
1,531,29,M
1,11329,33,M
1,80628,51,F
1,32670,42,M
1,49492,26,F
1,63075,44,F
1,12097,55,M
1,30289,30,F
1,85989,62,M
1,3242,26,M
1,53279,33,F
1,4288,31,M
1,21558,44,M
1,15909,35,M
1,87746,70,F
1,3466,39,F
1,54590,39,F
1,43755,65,M
1,49222,19,F
1,17010,36,M
1,25728,30,F
1,56733,11,M
1,73852,66,M
1,62745,33,F
1,11847,39,F
1,8719,36,F
1,79220,38,M
1,54612,43,F
1,68553,23,F
1,61078,43,M
1,83926,68,F
1,71136,41,M
1,84827,41,F
1,36209,34,F
1,58142,45,M
1,39526,69,F
1,39352,36,M
1,12492,72,F
1,38408,28,F
1,43537,64,F
1,87397,45,F
1,49741,22,F
1,46649,33,M
1,78417,43,F
1,74555,66,F
1,68356,29,M
1,51630,67,M
1,50009,22,F
1,66985,66,F
1,14389,36,F
